Product_Code,Product_code_Title,Supplier_Count,Number_of_Searches
3.5.37,PLC Terminal Equipment,9,2
3.5.38,Comms Multiplexers,6,
3.5.39,Transducers,5,42
3.5.40,Cells and electric cabs,0,8
3.5.41,Sealings,5,2
3.5.42,Connecting parts and accessories for sealings,3,115
3.5.50,Starters,12,149
3.5.52,Accessories for transformation posts,0,
3.5.53,Compact three phase modules,0,16
3.5.54,Transformer protections,11,35
3.5.55,Transformer bank protections,5,4
3.5.56,Brushes and brush holders,1,
3.5.57,Distribution grid station,5,10
3.5.58,Power connections,7,54
3.5.99,Other Transformers,48,311
3.6.1,Covered Overhead Line Conductor,26,1679
3.6.2,Bare Overhead Line Conductor,43,1645
3.6.4,Conductor Fittings,36,1193
3.6.5,Helical Fittings,13,741
3.6.7,Electrical Insulators - Porcelain,18,596
3.6.8,Electrical Insulators - Glass,11,460
3.6.9,Electrical Insulators - Polymeric,28,651
3.6.10,Overhead Line Towers,34,525
3.6.11,Overhead Line Accessories,50,1986
3.6.13,Overhead Line Poles,38,397
3.6.14,Stranded Wire Products,29,458
3.6.99,Other Overhead Line Equipment & Accessories,52,983
3.7.2,Underground Mains Cable - 1kV to 19kV,48,1282
3.7.3,Underground Mains Cable - 20kV to 99kV,56,1701
3.7.4,Underground Mains Cable - 100kV to 199 kV,48,2356
3.7.6,"Underground Cable Joints, Terminations & Jointing Materials - Below 1kV",42,1440
3.7.7,"Underground Cable Joints, Terminations & Jointing Materials - 1kV to 19kV",40,1384
3.7.8,"Underground Cable Joints, Terminations & Jointing Materials - 20kV to 99kV",42,1721
3.7.9,"Underground Cable Joints, Terminations & Jointing Materials - 100kV to 199kV",38,1441
3.7.10,"Underground Cable Joints, Terminations & Jointing Materials - 200kV & Above",31,1042
3.7.11,General Wiring Cable,45,945
3.7.12,Telecommunications Cable,60,288
3.7.13,Fibre Optic Cable,74,657
3.7.15,Cable Accessories,77,1315
3.7.16,Control & Instrumentation Cable,32,284
3.7.17,Control & Instrumentation Cable Accessories,21,198
3.7.18,Solder,8,125
3.7.19,Link Boxes,21,432
3.7.20,Cable Entry Cabinets,14,31
3.7.21,Subsea Cables,31,938
3.7.22,Ground power cables of steel and fibre-optic,10,327
3.7.23,Bare ground power cable of copper,16,78
3.7.24,Ground power cables of galvanized steel and alloys,8,113
3.7.99,Other Cables,22,205
